"last_name, first_name","player_id","year","pitch_hand","arm_angle","n_fastball_formatted","fastball_avg_speed","fastball_avg_break_x","fastball_avg_break_z_induced","n_breaking_formatted","breaking_avg_speed","breaking_avg_break_x","breaking_avg_break_z_induced","n_offspeed_formatted","offspeed_avg_speed","offspeed_avg_break_x","offspeed_avg_break_z_induced"
"Williams, Gavin",668909,2025,"R",36.1,"58.2","95.3","-8.6","13.1","41.7","84.5","9.5","-7.3","0.1","87.6","-5.4","5"
"Corbin, Patrick",571578,2025,"L",37,"58.4","89.6","8.8","9.5","36.3","79.5","-2.5","0.2","5.3","79","10.7","7.4"
"Birdsong, Hayden",806185,2025,"R",48.2,"43.9","95.5","-5.9","18.1","39.7","86","2.7","0.2","16.4","88.8","-12","-0.5"
"Boyd, Matthew",571510,2025,"L",25,"50","93.1","13.3","13","27.1","78.4","-7","-3.8","22.9","79","15.9","5.5"
"Berríos, José",621244,2025,"R",38.1,"56.2","92.3","-12.4","12.1","27.3","82.6","15.4","-4.2","16.5","85.5","-14.5","4"
"Mize, Casey",663554,2025,"R",45.1,"44.6","94.5","-9.8","15.9","29.1","85.1","4.8","1.1","26.3","88.7","-14.3","3.9"
"Littell, Zack",641793,2025,"R",39.4,"38.4","91.7","-9.7","14.9","36","86.5","2.8","6","25.5","83.4","-11.4","-1"
"Ortiz, Luis",682847,2025,"R",21.9,"61.5","95","-11.2","8.5","25.9","85.5","6.3","0.9","12.6","89.3","-14.6","2.7"
"Gray, Sonny",543243,2025,"R",47.6,"53.5","91.2","-2.3","8.2","39","82.8","14.1","-8.4","7.5","86.5","-13.5","6.2"
"Mahle, Tyler",641816,2025,"R",41.4,"61.8","90.7","-7.9","16.3","11.1","83.4","3.2","3","27.1","84.1","-13.8","6.6"
"Soriano, José",667755,2025,"R",37.4,"58.3","97.1","-12.4","4.5","34.1","86","9.6","-7.8","7.6","91.9","-10.2","-0.2"
"Francis, Bowden",670102,2025,"R",39.2,"57.8","92.4","-7.4","18.2","19.8","76.4","12.6","-5.2","22.4","82.2","-8.5","5.5"
"Kelly, Merrill",518876,2025,"R",23.8,"58.7","91.4","-8.7","11.8","16.3","83.5","5.8","-4.5","25","88.2","-15","0.2"
"Baz, Shane",669358,2025,"R",37.3,"52.9","95.7","-8.1","15.7","34.9","84.9","7.5","-10.8","12.3","89.6","-17.7","9.2"
"Kikuchi, Yusei",579328,2025,"L",34.5,"36.6","94.7","10.5","15.3","50","85.5","-3.2","2.5","13.4","85.7","13.8","5.5"
"Priester, Quinn",682990,2025,"R",47.4,"59.5","93.3","-10","8.8","38.2","84.7","4.6","-2.8","2.3","88.4","-13.2","4.5"
"Mikolas, Miles",571945,2025,"R",41.8,"44.7","92","-11","12.6","44","82","6","-2","11.4","85.3","-15.3","5.8"
"Wacha, Michael",608379,2025,"R",51,"54.9","91.9","-5.4","15.1","19.1","81","7.5","-2.9","26.1","80.1","-12.7","7.8"
"Wheeler, Zack",554430,2025,"R",23.8,"68.2","95.3","-10","12.4","22.8","82.9","12.5","-2.3","9","87.2","-13.5","6.2"
"Yamamoto, Yoshinobu",808967,2025,"R",44,"53.5","94.3","-5.6","14","20.4","77.9","11.2","-14.5","26.1","90.6","-10.8","1.8"
"Springs, Jeffrey",605488,2025,"L",43.1,"45.2","90.1","10.5","15.4","28.7","82.6","-5.5","2.6","26.1","79.5","12.7","6.9"
"Ray, Robbie",592662,2025,"L",45.9,"53","93.6","8.2","18.4","33.7","85.9","0.1","4.3","13.3","85","11.1","11.6"
"Senzatela, Antonio",622608,2025,"R",43.3,"56.7","94.7","-4.7","11.5","34.6","84.1","5.2","-0.5","8.7","87.3","-9","7.1"
"Taillon, Jameson",592791,2025,"R",46.5,"58.2","90.9","-5.1","15.8","31.2","80","12.7","-4.6","10.6","84.4","-16","8.1"
"Luzardo, Jesús",666200,2025,"L",33.6,"44.2","96.3","12.9","12.9","37.1","86.1","-6.4","0.6","18.7","87.9","16.4","7.2"
"Newcomb, Sean",656794,2025,"L",31.3,"64.3","91.7","9.4","11.2","27.4","81","-15.9","-7.9","8.4","85.2","12.7","4.3"
