"last_name, first_name","player_id","year","pitch_hand","arm_angle","ff_avg_speed","ff_avg_spin","ff_avg_break_x","ff_avg_break_z_induced","sl_avg_speed","sl_avg_spin","sl_avg_break_x","sl_avg_break_z_induced","ch_avg_speed","ch_avg_spin","ch_avg_break_x","ch_avg_break_z_induced","cu_avg_speed","cu_avg_spin","cu_avg_break_x","cu_avg_break_z_induced","si_avg_speed","si_avg_spin","si_avg_break_x","si_avg_break_z_induced","fc_avg_speed","fc_avg_spin","fc_avg_break_x","fc_avg_break_z_induced","fs_avg_speed","fs_avg_spin","fs_avg_break_x","fs_avg_break_z_induced","st_avg_speed","st_avg_spin","st_avg_break_x","st_avg_break_z_induced","sv_avg_speed","sv_avg_spin","sv_avg_break_x","sv_avg_break_z_induced"
"Freeland, Kyle",607536,2025,"L",28,"92","2416","8","15.2",,,,,"86.7","1495","12.2","6.6","83.2","2441","-2.4","-6.6","91.4","2275","14","8.1","87.9","2370","0.6","6.6",,,,,"84","2408","-9","-2.8",,,,
"Woo, Bryan",693433,2025,"R",26.1,"95.6","2258","-8.8","15.1","88.3","2232","2.9","4.9","89.7","1831","-16.3","4.9",,,,,"95.2","2287","-16.4","6.2",,,,,,,,,"84.4","2460","11.7","3.4",,,,
"Fried, Max",608331,2025,"L",46.4,"95.5","2233","2.9","14.8","85.1","2494","-4.6","1","84.6","1702","12.2","3.6","75.5","2961","-10.9","-17.1","93.8","2133","9.9","4.4","93.6","2310","-1.7","9",,,,,"80.9","2878","-17.7","-5.6",,,,
"Abbott, Andrew",671096,2025,"L",47.8,"92.4","2253","9","16.1",,,,,"84.5","1965","15.3","10","80.9","2783","-10.1","-2.8",,,,,"88.2","2442","-0.8","8.4",,,,,"82.5","2708","-10.6","4.2",,,,
"Paddack, Chris",663978,2025,"R",48,"93.7","2236","-8.8","18.5","85.6","1983","2.9","5.9","84.2","1793","-15","4.7","78","2129","5.4","-12.8","93.7","2161","-14.2","14.8","89","2032","0.9","11",,,,,,,,,,,,
"Lodolo, Nick",666157,2025,"L",14.9,"93.7","2290","17.3","9.3",,,,,"87.9","1838","17.1","1.4","82","2568","-8.4","0.2","93.8","2303","18.2","5.6",,,,,,,,,,,,,,,,
"Wacha, Michael",608379,2025,"R",51,"93.2","2164","-6.5","18.1","85","1970","4","3.8","80.1","1547","-12.7","7.6","75.1","2293","12.2","-12.4","93.6","2066","-12.8","15.3","88.2","2118","2.1","9",,,,,,,,,,,,
"Liberatore, Matthew",669461,2025,"L",46.4,"94.3","2110","7.3","16.2","86.4","2705","-4.2","0.3","88.9","1807","15.1","9.9","77.9","2970","-9.4","-18","94.2","2095","12.7","14.2","90.2","2502","-2.5","9.9",,,,,,,,,,,,
"Rodriguez, Eduardo",593958,2025,"L",40.2,"91.9","2302","5.6","15.7","84.5","2160","-4","2.7","86","1953","16.2","6.4","79","2336","-4.6","-2","91.6","2267","12.7","12.4","89.3","2272","-0.8","10.3",,,,,,,,,,,,
"Kremer, Dean",665152,2025,"R",43.2,"93.4","2267","-7.6","18.1","83.9","2471","2.4","1",,,,,"78.6","2748","5.8","-11.6","92.9","2190","-15","12.6","87.1","2405","5","6.2","82.1","1126","-10.9","9.4",,,,,,,,
